Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Exemptions,Unnamed: 5,Unnamed: 6,county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
Marion,55,"3,278","3,121 95.2%",76 2.3%,3 0.1% 62 1.9%,16,0.5%,,,,,,,,,,,,,,2015,FL
Martin,24,"1,456","1,354 93.0%",42 2.9%,4 0.3% 42 2.9%,14,1.0%,,,,,,,,,,,,,,2015,FL
,,,,,,,,Monroe,19,652,614,94.2%,12,1.8%,2,0.3%,22,3.4%,,,2015,FL
,,,,,,,,Nassau,14,879,838,95.3%,25,2.8%,2,0.2%,14,1.6%,,,2015,FL
,,,,,,,,Okaloosa,44,"2,555","2,448",95.8%,31,1.2%,2,0.1%,50,2.0%,22,22,2015,FL
,,,,,,,,Okeechobee,8,526,516,98.1%,2,0.4%,1,0.2%,4,0.8%,,,2015,FL
,,,,,,,,Orange,281,"15,822","14,833",93.7%,601,3.8%,62,0.4%,279,1.8%,26,26,2015,FL
,,,,,,,,Osceola,70,"4,466","4,187",93.8%,161,3.6%,14,0.3%,68,1.5%,33,33,2015,FL
,,,,,,,,Palm Beach,214,"14,901","13,521",90.7%,554,3.7%,13,0.1%,319,2.1%,490,490,2015,FL
,,,,,,,,Pasco,76,"5,110","4,857",95.0%,91,1.8%,9,0.2%,112,2.2%,41,41,2015,FL
,,,,,,,,Pinellas,170,"8,536","8,068",94.5%,166,1.9%,23,0.3%,269,3.2%,10,10,2015,FL
,,,,,,,,Polk,132,"8,189","7,887",96.3%,110,1.3%,91,1.1%,96,1.2%,,,2015,FL
,,,,,,,,Putnam,19,864,831,96.2%,22,2.5%,0,0.0%,6,0.7%,,,2015,FL
,,,,,,,,Santa Rosa,22,"1,867","1,765",94.5%,31,1.7%,0,0.0%,36,1.9%,33,33,2015,FL
,,,,,,,,Sarasota,57,"3,181","2,960",93.1%,56,1.8%,5,0.2%,154,4.8%,,,2015,FL
,,,,,,,,Seminole,84,"5,108","4,771",93.4%,99,1.9%,10,0.2%,187,3.7%,15,15,2015,FL
,,,,,,,,StJohns,38,"2,678","2,494",93.1%,47,1.8%,2,0.1%,84,3.1%,40,40,2015,FL
,,,,,,,,St Lucie,49,"2,981","2,782",93.3%,66,2.2%,4,0.1%,61,2.0%,49,49,2015,FL
,,,,,,,,Sumter,7,612,600,98.0%,1,0.2%,0,0.0%,10,1.6%,,,2015,FL
,,,,,,,,Suwannee,6,504,491,97.4%,6,1.2%,0,0.0%,5,1.0%,,,2015,FL
,,,,,,,,Taylor,6,269,258,95.9%,7,2.6%,0,0.0%,3,1.1%,,,2015,FL
,,,,,,,,Union,2,198,194,98.0%,1,0.5%,1,0.5%,2,1.0%,,,2015,FL
,,,,,,,,Vol usia,96,"5,066","4,776",94.3%,94,1.9%,12,0.2%,157,3.1%,22,22,2015,FL
,,,,,,,,Wakulla,6,366,359,98.1%,3,0.8%,2,0.5%,2,0.5%,,,2015,FL
,,,,,,,,Walton,13,734,694,94.6%,8,1.1%,0,0.0%,24,3.3%,,,2015,FL
,,,,,,,,Washington,4,269,266,98.9%,1,0.4%,0,0.0%,2,0.7%,,,2015,FL
,,,,,,,,State Total,"3,941","224,430","210,376",93.7%,"6,530",2.9%,699,0.3%,"4,226",1.9%,"2,345","2,345",2015,FL
